Initials of Person Entering Data,Date of Data Entry,Concept Team,Country,Coalition,"Quarter and Fiscal Year of Measurement 
(Oct - Sept)",Date and description of survey,# of coalition members surveyed,# of coalition members with improved understanding,"Link to Survey Data
(in Data Library)",Comments,"Changes log (If retrospective changes made to entries, please not what it was, why you changed it, and when."""
AH,12/6/2017,Concept 1,Uganda,Kabarole LA,FY18Q1,Pre-post survey administered during November 2017 Factor Analysis UCB,#N/A,#N/A,Link,Surveys administered by not scored,
AH,3/30/2018,Concept 1,Uganda,Kabarole LA,FY18Q2,Pre/post survey administered during visioning meeting with learning alliance,15,15,Link,Data entry from these surveys is ongoing. This is the first data point for change following the baseline surveys.,
AH,3/30/2018,Concept 1,Ethiopia,South Ari LA,FY17Q4,Baseline: Pre/post survey administered during IFML workshop,14,14,Link,"A Likert scale was used to track improved understanding via appreciation of different parts of the workshop. If any categorires scored 4 or 5, that participant was counted as a yes for improved understanding.",
AH,3/30/2018,Concept 1,Ethiopia,Wolisso LA,FY17Q4,Baseline: Pre/post survey administered during IFML workshop,9,9,Link,"Pre-survey 11 respondents, but this method calculates from the post (9). If the participant scored activities as a 4 or 5, or made a comment about improved understanding, this was counted as a yes.",
AH,3/30/2018,Concept 1,Ethiopia,Mille LA,FY17Q4,Baseline: Pre/post survey administered during IFML workshop,#N/A,#N/A,Link,The survey responses do not provide adequate data,
AH,7/31/2018,Concept 1,Ethiopia,South Ari LA,FY18Q3,Meeting questionnaire,19,19,Link,,
AH,7/31/2018,Concept 1,Ethiopia,Mille LA,FY18Q3,Meeting questionnaire,19,19,Link,Please note the method for scoring understanding. The link here is only to the meeting report.,
AH,7/31/2018,Concept 1,Uganda,Kabarole LA,FY18Q3,No survey conducted,#N/A,#N/A,#N/A,,
AH,10/17/2018,Concept 1,Ethiopia,South Ari LA,FY18Q4,No survey conducted,#N/A,#N/A,#N/A,,
AH,10/17/2018,Concept 1,Ethiopia,Mille LA,FY18Q4,No survey conducted,#N/A,#N/A,#N/A,,
AH,10/17/2018,Concept 1,Ethiopia,Wolisso LA,FY18Q4,No survey conducted,#N/A,#N/A,#N/A,,
FA,8/2/2019,Concept 1,Uganda,Kabarole LA,FY19Q1,No survey conducted,#N/A,#N/A,#N/A,,
BH,2/5/2019,Concept 1,Ethiopia,Mille LA,FY19Q1,"Plenary questions asked during Learning Alliance meeting Nov. 29, 2018",25,25,Link,Questions were asked in plenary for all participants and discussions were noted.,
BH,2/5/2019,Concept 1,Ethiopia,South Ari LA,FY19Q1,"Plenary questions asked during Learning Alliance meeting (Nov. 7, 2018 at Gazer and Nov. 8, 2018 at Jinka)",35,35,Link,Questions were asked in plenary for all participants and discussions were noted.,
LH,2/5/2019,Concept 1,Ethiopia,Wolisso LA,FY19Q1,"Survey administered during learning alliance meeting on Nov. 18, 2019",17,17,,"Questions asked during learning alliance meeting (plenary), responses recorded on paper by learning alliance members and collected by facilitator.",
LH,2/5/2019,Concept 1,Ethiopia,Debre Birhan LA,FY19Q1,No survey conducted,#N/A,#N/A,#N/A,,
FA,4/11/2019,Concept 1,Uganda,Kabarole LA,FY19Q2,"Questionnaire administered during Meeting for harmonisation of understanding of national WASH indicators with Masterplan on April 11 in Kabarole. Questions 3, 4, 6 were completed and scored with rubric.",16,11,Link,,
BH,4/9/2019,Concept 1,Ethiopia,Mille LA,FY19Q2,Semi-structured interview questions to assess change in understanding on WASH systems and the learning alliance process,7,2,Link,Survey contained 5 open ended questions to understand experience of the learning alliance members and change in their understanding of WASH system.,
BH,4/9/2019,Concept 1,Ethiopia,South Ari LA,FY19Q2,No survey conducted,#N/A,#N/A,#N/A,,
LH,4/12/2019,Concept 1,Ethiopia,Wolisso LA,FY19Q2,Semi-structured interviews with key informants involved in SWS activities,3,3,,"Interviews were conducted after quarterly learning alliance meeting which addressed: (1) fecal sludge disposal site working group, and (2) follow up to rollout of training to communal latrine management committees",
LH,4/12/2019,Concept 1,Ethiopia,Debre Birhan LA,FY19Q2,No survey conducted,#N/A,#N/A,#N/A,Semi-structured interviews to be conducted in Q3 of FY 2019 (original draft tested in Woliso),
BH,7/15/2019,Concept 1,Ethiopia,South Ari LA,FY19Q3,Semi-structured interview questions to assess change in understanding on WASH systems and the learning alliance process,10,5,Link,Survey contained 5 open ended questions to understand experience of the learning alliance members and change in their understanding of WASH system.,
FA,29/7/2019,Concept 1,Uganda,Kabarole LA,FY19Q3,"Semi- structured interview questions administered to the learning alliance members in three categories: political, technical, and the hand pump mechanics focused on learning from the preventive maintainence model during the learning visit to Concept Three in Kamuli.",11,11,Link,"The semi- structured questions were focused on learning by the political, teachnical and service providers (HPMA) on engagements processes, successes and areas for replication into the PAYF model implemented in Kabarole District. Analyses was done by the three learning alliance member categories.",
