Initials of Person Entering Data,Date of Data Entry,Concept Team,Country,Coalition,Quarter and Fiscal Year of Measurement,Type of Analysis,"Link to Report 
(in Data Library)",Count in Dashboard (for EI use only),"Comments
(optional)","Changes log (If retrospective changes made to entries, please not what it was, why you changed it, and when.""",Original Type of Analysis Name (before coding into the drop-down)
AH,12/9/2017,Concept 1,Uganda,Kabarole LA,FY17Q1,Context Analysis,Link,Y,"Report not finalized as an SWS output. complete draft shared but never published
SP: Was marked as both Kabarole and national level. Marked as Kabarole because can't list as both..",,Context Analysis
AH,12/9/2016,Concept 1,Ethiopia,Mille LA,FY17Q1,Life-Cycle Cost Analysis,Link,Y,"Note (for number of stakeholders) this assessment is done per water scheme and with a representative number of household surveys. the number of household surveys are the numbers entered in Column I, but doesn't really get at the point of number of stakeholders involved. Populations for the two districts are 250,239 and 117,960 for South Ari and Mile, respectively.",,LCCA / Asset Inventory
AH,12/12/2017,Concept 1,Ethiopia,South Ari LA,FY17Q2,Sustainability Analysis,Link,Y,Included in baseline report. Draft in review.,,Shit Flow Diagramme (or Fecal Flow Diagramme)
AH,12/13/2017,Concept 1,Ethiopia,Wolisso LA,FY17Q2,Sustainability Analysis,Link,Y,SWS Woliso Baseline assessment report,,Iterative Factor Mapping and Learning
AH,12/8/2017,Concept 1,Uganda,Kabarole LA,FY17Q3,Building Blocks Assessment,Link,Y,"Updated format to be added. The number of stakeholders is those who were involved in validation, but is not really a relevant figure.",,Building Block Analysis
FA,7/29/2019,Concept 1,Uganda,Kabarole LA,FY19Q3,Building Blocks Assessment,#N/A,#N/A,"Building blocks update done in quarter one- FY19
SP- okay, I'm not going to count this one then, because we already have it in row 69",,
AH,12/7/2017,Concept 1,Uganda,Kabarole LA,FY17Q3,Network Analysis,Link,Y,Report in draft form.,,Social Network Analysis
AH,12/9/2016,Concept 1,Ethiopia,South Ari LA,FY17Q3,Network Analysis,Link,Y,Report in review,,Sustainability Check
AH,12/9/2017,Concept 1,Ethiopia,Wolisso LA,FY17Q3,Network Analysis,Link,Y,Report in review,,Organizational Network Analysis
AH,12/14/2017,Concept 1,Ethiopia,Wolisso LA,FY17Q3,Shit Flow Diagram,Link,Y,SWS Woliso Baseline assessment report,,CSDA : City Service Delivery Assessment
AH,12/9/2017,Concept 1,Ethiopia,South Ari LA,FY17Q4,Building Blocks Assessment,Link,Y,Report in draft form,,Building Blocks Analysis
AH,1/19/2018,Concept 1,Ethiopia,Mille LA,FY17Q4,Building Blocks Assessment,Link,Y,Report being finalized,,Building Blocks Analysis
AH,12/16/2017,Concept 1,Ethiopia,South Ari LA,FY17Q4,Factor Mapping,Link,Y,Report in review,,Iterative Factor Mapping and Learning
AH,12/17/2017,Concept 1,Ethiopia,Wolisso LA,FY17Q4,Factor Mapping,Link,Y,SWS Woliso Baseline assessment report,,
AH,12/9/2016,Concept 1,Ethiopia,South Ari LA,FY17Q4,Life-Cycle Cost Analysis,Link,Y,Stakeholders counted per organization.,,LCCA / Asset Inventory
AH,12/9/2017,Concept 1,Ethiopia,Mille LA,FY17Q4,Network Analysis,Link,Y,Included in baseline report. Draft in review.,,Organizational Network Analysis
AH,12/15/2017,Concept 1,Ethiopia,Wolisso LA,FY17Q4,Network Analysis,Link,Y,"The study was carried out as a country with a separat finding and analysis for South Ari, Mille and Woliso Town",,Organizational Network Analysis
AH,12/8/2017,Concept 1,Uganda,Kabarole LA,FY18Q1,Factor Mapping,Link,Y,"Waiting on report, data, findings from UCB",,Iterative Factor Mapping and Learning
EB,1/21/2019,Concept 3,Uganda,Kamuli District,FY19Q1,IFML-ONA Feedback Workshop,Link,#N/A,Feedback questionnaires don't count as Systems Analysis,,
NC,1/17/2018,Concept 2,Cambodia,Phnom Srouch District,FY18Q1,Factor Mapping,,Y,The final report is a UCB deliverable,,Iterative Factor Mapping and Learning
