Initials of Person Entering Data,Date of Data Entry,SWS Partners Involved,Quarter and Fiscal Year of Measurement,Type,Name and description of evidence product or verbal presentation,"Link to Product or Recording
","Comments
(optional)","Changes log (If retrospective changes made to entries, please not what it was, why you changed it, and when.)"
PW,12/13/2017,Concept 1,FY17Q4,Grey Literature,Report on the Learning Visit to Uganda on Rural Water Supply Maintenance 19-25 November 2017,Link,Contributed to the report,
PW,12/13/2017,Concept 3,FY17Q4,Grey Literature,End of 2017 Project Report,Link,,
PW,12/18/2017,Concept 3,FY17Q4,Grey Literature,Blog post on the Ethiopian learning visit to Uganda November 2017,Link,Contributed to the blog post,
AH,1/16/2018,Concept 1,FY18Q1,Grey Literature,Blog: Learning how to fix the system and not just the pump,Link,By John Butterworth IRC,
AH,1/16/2018,Concept 1,FY18Q1,Grey Literature,"Blog: Using Network Analysis for a Local Sanitation Alliance 
",Link,By Matt Guttentag LINC,
AH,1/16/2018,Concept 1,FY17Q4,Grey Literature,Blog: Sustainable Development Goals are leaving behind shared sanitation,Link,by Kimmy Pugel UCB on IRC website,
AH,1/17/2018,Concept 1,FY17Q4,Grey Literature,Blog: Shouted at by water users and shouting for support,Link,"By Marieke Adank, IRC",
AH,1/18/2018,Concept 3,FY17Q2,Grey Literature,"Blog: Systems change at district level: where do we start? The case of South Ari district, Ethiopia",Link,by Catarina Fonseca IRC,
AH,4/9/2018,Concept 1,FY18Q2,Grey Literature,Blog: Sitting on a gold mine: a team representing government and NGOs from Ethiopia joined a visit to Ghana to learn about planning for achieving the Sustainable Development Goals for WASH.,Link,"by John Butterworth, IRC",
LM,4/23/2018,Concept 2,FY18Q2,Grey Literature,Research Brief: Network Analysis and Systems Assessment for Sustainability in the Rural Sanitation and Hygiene Sector in Cambodia,Link,LINC and WaterSHED,
LM,6/30/2018,Concept 2,FY18Q3,Grey Literature,ONA customized report: Sanitation for Challenging Environments,Link,LINC and WaterSHED,
LM,6/30/2018,Concept 2,FY18Q3,Grey Literature,ONA customized report: Fecal Sludge Management,Link,LINC and WaterSHED,
LM,6/30/2018,Concept 2,FY18Q3,Grey Literature,ONA customized report: Rural Sanitation and Hygiene Subgroup,Link,LINC and WaterSHED,
LM,6/30/2018,Concept 2,FY18Q3,Grey Literature,ONA customized report: Engineers Without Borders,Link,LINC and WaterSHED,
LM,6/30/2018,Concept 2,FY18Q3,Grey Literature,Network Analysis and Systems Assessment for Sustainability in the Rural Sanitation and Hygiene Sector in Cambodia,#N/A,Document with UCB for finalization and formating,
LM,7/27/2018,Concept 2,FY18Q3,Grey Literature,FCC Provincial and Distrct Selection Criteria,Link,WaterSHED,
LM,7/27/2018,Concept 2,FY18Q3,Grey Literature,FCC PWG Advisory Group,Link,WaterSHED,
